iter	Passed	Remaining
134	3463	22192
135	3487	22154
136	3510	22112
137	3534	22077
138	3558	22040
139	3583	22010
140	3607	21979
141	3633	21955
142	3658	21924
143	3682	21893
144	3706	21855
145	3730	21818
146	3754	21787
147	3779	21754
148	3802	21716
149	3827	21690
150	3853	21664
151	3880	21649
152	3907	21631
153	3934	21611
154	3959	21586
155	3984	21556
156	4008	21524
157	4033	21494
158	4058	21468
159	4083	21438
160	4107	21405
161	4131	21373
162	4157	21349
163	4183	21326
164	4209	21301
165	4235	21278
166	4262	21263
167	4290	21248
168	4319	21240
169	4347	21227
170	4378	21226
171	4408	21220
172	4436	21206
173	4466	21200
174	4495	21194
175	4526	21190
176	4552	21170
177	4580	21154
178	4608	21139
179	4637	21128
180	4666	21113
181	4694	21098
182	4723	21085
183	4750	21065
184	4777	21046
185	4804	21027
186	4832	21011
187	4862	21000
188	4891	20990
189	4925	20999
190	4956	20994
191	4988	20995
192	5024	21009
193	5061	21028
194	5098	21047
195	5134	21063
196	5169	21070
197	5200	21063
198	5231	21057
199	5261	21045
200	5291	21032
201	5322	21025
202	5352	21016
203	5381	20999
204	5413	20992
205	5441	20974
206	5469	20953
207	5497	20933
208	5526	20915
209	5555	20897
210	5583	20878
211	5613	20864
212	5642	20847
213	5670	20826
214	5698	20806
215	5725	20781
216	5755	20767
217	5783	20745
218	5811	20725
219	5839	20705
220	5867	20682
221	5895	20661
222	5923	20637
223	5951	20616
224	5979	20595
225	6006	20569
226	6033	20546
227	6061	20524
228	6090	20504
229	6117	20479
230	6146	20460
231	6176	20447
232	6206	20430
233	6237	20417
234	6268	20406
235	6299	20392
236	6329	20375
237	6357	20355
238	6387	20339
239	6417	20322
240	6445	20300
241	6475	20281
242	6499	20246
243	6527	20223
244	6554	20199
245	6581	20173
246	6610	20153
247	6639	20132
248	6669	20114
249	6697	20093
250	6728	20076
251	6755	20052
252	6783	20029
253	6813	20010
254	6841	19988
255	6868	19961
256	6897	19940
257	6924	19915
258	6954	19896
259	6984	19880
260	7015	19864
261	7044	19842
262	7073	19820
263	7101	19796
264	7129	19773
265	7160	19757
266	7192	19745
267	7220	19721
268	7245	19689
269	7273	19665
270	7304	19650
271	7338	19639
272	7369	19623
273	7398	19602
274	7427	19581
275	7457	19561
276	7494	19561
277	7530	19558
278	7570	19564
279	7611	19573
280	7650	19575
281	7684	19565
282	7719	19557
283	7750	19540
284	7782	19523
285	7814	19507
286	7843	19485
287	7893	19514
288	7928	19506
289	7959	19486
290	7991	19470
291	8022	19451
292	8055	19437
293	8087	19422
294	8119	19403
295	8146	19376
296	8171	19342
297	8201	19319
298	8231	19298
299	8260	19274
300	8290	19252
301	8319	19229
302	8348	19203
303	8377	19178
304	8409	19162
305	8439	19139
306	8471	19123
307	8505	19108
308	8537	19093
309	8570	19075
310	8600	19052
311	8627	19025
312	8653	18993
313	8679	18962
314	8709	18940
315	8738	18914
316	8768	18891
317	8798	18869
318	8828	18847
319	8857	18822
320	8886	18796
321	8910	18761
322	8934	18726
323	8962	18698
324	8988	18669
325	9015	18639
326	9044	18613
327	9069	18581
328	9094	18548
329	9123	18523
330	9155	18505
331	9180	18472
332	9209	18446
333	9239	18422
334	9268	18397
335	9296	18371
336	9327	18351
337	9357	18326
338	9387	18303
339	9413	18273
340	9445	18253
341	9478	18235
342	9507	18210
343	9538	18189
344	9571	18171
345	9602	18150
346	9637	18136
347	9670	18118
348	9701	18096
349	9734	18077
350	9765	18056
351	9795	18033
352	9826	18010
353	9856	17987
354	9890	17969
355	9922	17950
356	9954	17930
357	9991	17917
358	10023	17897
359	10057	17879
360	10090	17861
361	10123	17842
362	10158	17826
363	10192	17808
364	10225	17788
365	10259	17771
366	10294	17755
367	10326	17734
368	10365	17725
369	10396	17702
370	10429	17681
371	10461	17660
372	10494	17640
373	10528	17622
374	10561	17601
375	10595	17583
376	10627	17562
377	10659	17540
378	10691	17517
379	10722	17495
380	10755	17474
381	10787	17452
382	10819	17430
383	10852	17409
384	10884	17387
385	10917	17366
386	10952	17348
387	10985	17328
388	11018	17306
389	11051	17285
390	11083	17263
391	11117	17242
392	11149	17221
393	11183	17200
394	11216	17179
395	11247	17155
396	11279	17131
397	11307	17103
398	11339	17080
399	11372	17059
400	11408	17040
401	11440	17017
402	11472	16995
403	11505	16974
404	11535	16947
405	11566	16922
406	11599	16899
407	11630	16875
408	11662	16851
409	11694	16829
410	11727	16806
411	11759	16783
412	11790	16758
413	11822	16734
414	11854	16709
415	11885	16685
416	11916	16659
417	11948	16636
418	11979	16610
419	12009	16584
420	12042	16561
421	12075	16539
422	12110	16518
423	12144	16498
424	12178	16477
425	12212	16454
426	12238	16423
427	12269	16397
428	12301	16373
429	12332	16347
430	12360	16318
431	12392	16293
432	12420	16264
433	12451	16238
434	12482	16213
435	12516	16190
436	12551	16170
437	12579	16140
438	12611	16116
439	12640	16088
440	12669	16059
441	12699	16032
442	12729	16005
443	12758	15977
444	12789	15950
445	12821	15926
446	12852	15899
447	12884	15875
448	12913	15847
449	12944	15820
450	12974	15793
451	13005	15767
452	13034	15739
453	13065	15713
454	13093	15683
455	13123	15655
456	13153	15629
457	13183	15601
458	13212	15572
459	13243	15546
460	13273	15519
461	13303	15492
462	13330	15461
463	13361	15435
464	13392	15408
465	13422	15380
466	13453	15354
467	13484	15328
468	13515	15302
469	13545	15275
470	13576	15248
471	13606	15220
472	13637	15194
473	13667	15166
474	13697	15139
475	13728	15112
476	13757	15084
477	13789	15058
478	13824	15036
479	13856	15010
480	13887	14985
481	13917	14956
482	13946	14928
483	13975	14900
484	14004	14870
485	14035	14843
486	14065	14816
487	14094	14787
488	14123	14758
489	14153	14731
490	14184	14704
491	14216	14678
492	14246	14651
493	14277	14624
494	14308	14597
495	14340	14571
496	14371	14544
497	14401	14517
498	14431	14489
499	14462	14462
500	14493	14435
501	14531	14415
502	14563	14389
503	14593	14361
504	14626	14336
505	14656	14308
506	14688	14282
507	14718	14255
508	14748	14226
509	14777	14198
510	14807	14169
511	14837	14141
512	14867	14113
513	14898	14086
514	14929	14059
515	14959	14031
516	14989	14003
517	15022	13978
518	15053	13951
519	15084	13924
520	15117	13898
521	15150	13873
522	15184	13848
523	15215	13821
524	15246	13794
525	15277	13766
526	15311	13742
527	15342	13715
528	15373	13688
529	15404	13660
530	15435	13633
531	15465	13605
532	15496	13577
533	15526	13548
534	15555	13519
535	15583	13490
536	15612	13460
537	15641	13431
538	15670	13402
539	15699	13373
540	15727	13343
541	15757	13315
542	15788	13287
543	15817	13258
544	15848	13230
545	15878	13203
546	15908	13174
547	15939	13147
548	15970	13119
549	16001	13092
550	16031	13063
551	16064	13037
552	16095	13010
553	16126	12982
554	16158	12955
555	16189	12928
556	16226	12905
557	16263	12882
558	16300	12859
559	16335	12834
560	16372	12812
561	16403	12784
562	16436	12758
563	16470	12732
564	16503	12706
565	16535	12679
566	16567	12652
567	16595	12622
568	16628	12595
569	16661	12568
570	16692	12540
571	16724	12513
572	16755	12486
573	16786	12458
574	16814	12427
575	16846	12400
576	16879	12374
577	16911	12347
578	16942	12319
579	16970	12289
580	17000	12260
581	17031	12232
582	17060	12202
583	17088	12172
584	17118	12143
585	17149	12116
586	17180	12087
587	17218	12064
588	17266	12048
589	17305	12025
590	17341	12001
591	17378	11977
592	17414	11952
593	17448	11926
594	17481	11899
595	17515	11872
596	17552	11848
597	17587	11823
598	17629	11802
599	17664	11776
600	17695	11747
601	17725	11719
602	17755	11689
603	17786	11661
604	17814	11630
605	17843	11601
606	17872	11571
607	17903	11543
608	17935	11515
609	17966	11486
610	17996	11457
611	18029	11430
612	18062	11403
613	18092	11374
614	18121	11344
615	18150	11314
616	18181	11286
617	18212	11257
618	18242	11228
619	18273	11199
620	18302	11170
621	18332	11140
622	18365	11113
623	18400	11087
624	18436	11061
625	18484	11043
626	18520	11017
627	18554	10990
628	18587	10963
629	18618	10934
630	18649	10905
631	18678	10875
632	18705	10845
633	18734	10815
634	18764	10785
635	18800	10759
636	18838	10735
637	18874	10709
638	18949	10705
639	19008	10692
640	19091	10692
641	19287	10755
642	19429	10787
643	19499	10779
644	19569	10770
645	19651	10768
646	19749	10775
647	19867	10792
648	20001	10817
649	20156	10853
650	20266	10864
651	20390	10883
652	20576	10934
653	20841	11026
654	20915	11016
655	21007	11016
656	21120	11026
657	21208	11023
658	21387	11066
659	21547	11100
660	21613	11084
661	21669	11063
662	21716	11038
663	21760	11011
664	21825	10994
665	21888	10977
666	21933	10950
667	21977	10922
668	22015	10892
669	22055	10863
670	22130	10850
671	22172	10822
672	22213	10793
673	22253	10763
674	22293	10733
675	22343	10708
676	22398	10686
677	22451	10662
678	22511	10642
679	22591	10631
680	22662	10615
681	22732	10599
682	22784	10574
683	22825	10545
684	22861	10512
685	22900	10482
686	22943	10453
687	22979	10420
688	23013	10387
689	23043	10353
690	23074	10318
691	23104	10283
692	23136	10249
693	23168	10215
694	23211	10186
695	23243	10152
696	23277	10119
697	23311	10085
698	23348	10054
699	23387	10023
700	23422	9990
701	23459	9958
702	23494	9925
703	23529	9893
704	23566	9861
705	23604	9829
706	23641	9797
707	23677	9765
708	23713	9733
709	23753	9702
710	23790	9670
711	23830	9639
712	23873	9609
713	23914	9579
714	23959	9550
715	24003	9521
716	24048	9491
717	24093	9462
718	24131	9431
719	24172	9400
720	24212	9369
721	24245	9335
722	24279	9302
723	24313	9268
724	24345	9234
725	24380	9201
726	24416	9168
727	24450	9135
728	24482	9101
729	24513	9066
730	24544	9031
731	24575	8997
732	24608	8963
733	24644	8931
734	24680	8898
735	24714	8865
736	24753	8833
737	24793	8802
738	24835	8771
739	24867	8737
740	24901	8703
741	24946	8673
742	24989	8643
743	25028	8611
744	25067	8580
745	25105	8547
746	25142	8515
747	25178	8482
748	25215	8449
749	25251	8417
750	25288	8384
751	25326	8352
752	25365	8320
753	25401	8287
754	25440	8255
755	25473	8221
756	25506	8187
757	25539	8153
758	25570	8119
759	25599	8084
760	25629	8049
761	25658	8014
762	25690	7979
763	25723	7946
764	25757	7912
765	25794	7879
766	25833	7847
767	25872	7815
768	25908	7782
769	25947	7750
770	25993	7720
771	26031	7688
772	26071	7656
773	26118	7626
774	26159	7594
775	26200	7562
776	26238	7530
777	26280	7499
778	26319	7466
779	26354	7433
780	26388	7399
781	26420	7365
782	26453	7331
783	26484	7296
784	26518	7262
785	26552	7229
786	26585	7195
787	26615	7160
788	26645	7125
789	26676	7091
790	26759	7070
791	26862	7054
792	26930	7029
793	26971	6997
794	27008	6964
795	27044	6931
796	27083	6898
797	27125	6866
798	27161	6832
799	27194	6798
800	27228	6764
801	27264	6731
802	27298	6697
803	27333	6663
804	27373	6630
805	27409	6597
806	27445	6563
807	27482	6530
808	27516	6496
809	27551	6462
810	27582	6428
811	27614	6393
812	27648	6359
813	27683	6325
814	27723	6292
815	27763	6260
816	27804	6227
817	27844	6195
818	27887	6163
819	27928	6130
820	27976	6099
821	28024	6068
822	28072	6037
823	28115	6005
824	28151	5971
825	28187	5937
826	28220	5903
827	28255	5869
828	28295	5836
829	28332	5802
830	28365	5768
831	28397	5734
832	28428	5699
833	28460	5664
834	28491	5630
835	28522	5595
836	28553	5560
837	28584	5525
838	28616	5491
839	28652	5457
840	28690	5424
841	28727	5390
842	28765	5357
843	28809	5325
844	28847	5291
845	28882	5257
846	28922	5224
847	28964	5191
848	29008	5159
849	29045	5125
850	29082	5092
851	29118	5058
852	29153	5024
853	29194	4991
854	29227	4956
855	29260	4922
856	29292	4887
857	29322	4852
858	29355	4818
859	29389	4784
860	29418	4749
861	29450	4714
862	29484	4680
863	29520	4646
864	29556	4612
865	29590	4578
866	29625	4544
867	29656	4510
868	29690	4475
869	29722	4441
870	29755	4406
871	29795	4373
872	29832	4339
873	29866	4305
874	29902	4271
875	29940	4238
876	29976	4204
877	30012	4170
878	30044	4135
879	30085	4102
880	30127	4069
881	30166	4035
882	30205	4002
883	30263	3971
884	30306	3938
885	30345	3904
886	30381	3870
887	30417	3836
888	30453	3802
889	30493	3768
890	30538	3735
891	30574	3701
892	30609	3667
893	30642	3633
894	30675	3598
895	30715	3565
896	30746	3530
897	30781	3496
898	30823	3462
899	30852	3428
900	30886	3393
901	30918	3359
902	30951	3324
903	30985	3290
904	31017	3255
905	31053	3221
906	31089	3187
907	31123	3153
908	31158	3119
909	31195	3085
910	31228	3050
911	31260	3016
912	31290	2981
913	31321	2947
914	31355	2912
915	31403	2879
916	31445	2846
917	31481	2812
918	31517	2777
919	31556	2744
920	31594	2710
921	31635	2676
922	31673	2642
923	31715	2608
924	31761	2575
925	31800	2541
926	31844	2507
927	31887	2474
928	31932	2440
929	31968	2406
930	32011	2372
931	32048	2338
932	32081	2303
933	32113	2269
934	32144	2234
935	32176	2200
936	32211	2165
937	32246	2131
938	32283	2097
939	32318	2062
940	32355	2028
941	32392	1994
942	32423	1959
943	32453	1925
944	32484	1890
945	32517	1856
946	32565	1822
947	32621	1789
948	32658	1755
949	32696	1720
950	32730	1686
951	32765	1652
952	32799	1617
953	32831	1583
954	32862	1548
955	32892	1513
956	32922	1479
957	32954	1444
958	32983	1410
959	33014	1375
960	33048	1341
961	33079	1306
962	33108	1272
963	33139	1237
964	33188	1203
965	33227	1169
966	33264	1135
967	33297	1100
968	33333	1066
969	33367	1031
970	33399	997
971	33433	963
972	33464	928
973	33499	894
974	33531	859
975	33561	825
976	33595	790
977	33629	756
978	33664	722
979	33707	687
980	33761	653
981	33794	619
982	33834	585
983	33874	550
984	33912	516
985	33951	482
986	33993	447
987	34045	413
988	34086	379
989	34130	344
990	34173	310
991	34216	275
992	34271	241
993	34311	207
994	34353	172
995	34391	138
996	34427	103
997	34478	69
998	34516	34
999	34553	0
